,name,price,standard_price,flag,category
145,meblościanka Romance 277 cm modrzew sibiu jasny,1969,0.0,['Promocja'],meblościanka
146,szafa dwudrzwiowa Space Office 80 cm dąb artisan,529,0.0,['Promocja'],szafa dwudrzwiowa
147,łóżko Luca Juzi 90x200 z szufladą modrzew sibiu jasny,929,0.0,[],łóżko
148,sofa trzyosobowa Zone rozkładana z pojemnikiem czarna,1899,0.0,['NOWOŚĆ'],sofa trzyosobowa
149,szafka Zenda 180 cm czterodrzwiowa z półką dąb waterford/czarny,789,0.0,['Promocja'],szafka
150,regał Azteca Trio  80 cm z 2 drzwiami biały połysk,919,0.0,['Promocja'],regał
151,komoda Gent 115 cm z 3 szufladami dąb stirling,1119,0.0,[],komoda
152,nakładka tapicerowana do łóżka Tetrix/ Kaspian T 120 cm szara,249,0.0,[],nakładka tapicerowana do łóżka
153,szafka kuchenna górna Junona Line 80 cm dwudrzwiowa kredowy połysk,282,0.0,[],szafka kuchenna górna
154,szafka kuchenna dolna Junona Line 60 cm dwudrzwiowa dąb sonoma,293,0.0,[],szafka kuchenna dolna
155,zestaw Kassel łózko 160 i szafki nocne dąb monastery/dąb czarny,3109,0.0,['Promocja'],zestaw
156,szafka kuchenna pod zlewozmywak Junona Line 80 cm biała,305,0.0,[],szafka kuchenna pod zlewozmywak
157,regał MultiDo 45 cm z drzwiami dąb artisan,229,0.0,['NOWOŚĆ'],regał
158,łóżko Saturn 140x200 z 3 szufladami dąb artisan/grafit,1189,0.0,['Promocja'],łóżko
159,komoda Azteca Trio 60 cm z 5 szuflamami biały połysk,939,0.0,[],komoda
160,szafa przesuwna Flex 180 cm biała,3795,0.0,[],szafa przesuwna
161,ława Nepo Plus,179,0.0,['Promocja'],ława
162,łóżko Bellano A 160x200 tapicerowane czarne,1599,0.0,['NOWOŚĆ'],łóżko
163,komoda MultiDo 80 cm z 2 drzwiami i szufladami dąb artisan,389,0.0,['NOWOŚĆ'],komoda
164,sofa trzyosobowa Simon rozkładana z pojemnikiem zielona,2399,0.0,"['Promocja', 'NOWOŚĆ']",sofa trzyosobowa
165,szafka RTV Loksa 160 cm z 2 drzwiami i szufladą sosna andersen biała,799,0.0,[],szafka RTV
166,stół rozkładany Baklawa 80/130/180/230x80 biały alpejski,1639,0.0,[],stół rozkładany
167,narożnik prawostronny Houston rozkładany z pojemnikiem skóra naturalna szary,8099,0.0,['NOWOŚĆ'],narożnik prawostronny
168,regał Ramla 90 cm z 2 drzwiami 3 szufladami i 2 półkami jesion górski,749,0.0,['WYPRZEDAŻ'],regał
169,narożnik lewostronny Game rozkładany z pojemnikiem szary,2299,0.0,['WYPRZEDAŻ'],narożnik lewostronny
170,łóżko Weston 90x200 sosna old style,529,0.0,[],łóżko
171,zestaw dwóch stolików Kamza czarne,319,0.0,['WYPRZEDAŻ'],zestaw dwóch stolików
172,szafka RTV Ramla cm z 3 szufladami i półką jesion górski,729,0.0,['WYPRZEDAŻ'],szafka RTV
173,szafka kuchenna dolna Junona Line 40 cm z szufladami dąb sonoma,305,0.0,[],szafka kuchenna dolna
174,szafa pięciodrzwiowa Camron 255 cm z lustrem sosna aurelio,3349,0.0,['NOWOŚĆ'],szafa pięciodrzwiowa
175,szafa przesuwna Tetrix 220 cm biały połysk,2429,0.0,[],szafa przesuwna
176,zestaw dwóch stolików Kamza zielone,319,0.0,['WYPRZEDAŻ'],zestaw dwóch stolików
177,komoda Nepo Plus 80 cm z 2 drzwiami i szufladą biała,479,0.0,[],komoda
178,"szafka rtv z szafką i półkami Holten biała, dąb wotan",593,0.0,[],szafka rtv z szafką i półkami
179,łóżko Ruso 160x200 ze stelażem i pojemnikiem dąb april,2319,0.0,[],łóżko
180,półka ścienna Lamea 135 cm dąb artisan,139,0.0,[],półka ścienna
181,szafka kuchenna dolna Junona Line 40 cmz szufladami bez blatu dąb delano ciemny,199,0.0,['WYPRZEDAŻ'],szafka kuchenna dolna
182,komoda Bergen 110 cm z 2 drzwiami i 2 szufladami modrzew sibiu złoty,1159,0.0,[],komoda
183,regał Hesen 66 cm z drzwiami grafitowy,919,0.0,['Promocja'],regał
184,szafa modułowa Flex 250 cm przesuwna z drzwiami grafit/czarny połysk,8707,0.0,[],szafa modułowa
185,szafka na buty Go 90 cm z siedziskiem dąb sonoma,359,0.0,['Promocja'],szafka na buty
186,szafka kuchenna dolna Sole 80 cm z szufladami biały połysk,1937,0.0,[],szafka kuchenna dolna
